n, Tiempo_Final(s)
1, 0.00000186
2, 0.00000204
3, 0.00000282
4, 0.00000518
5, 0.00001393
6, 0.00004471
7, 0.00040586
8, 0.00238389
9, 0.03285643
10, 0.54928136
11, 4.76552518
12, 67.40007268
